"Comment","Designator","Footprint","LCSC Part #"
"22u","C1,C2,C10,C11","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C45783"
"100n","C3,C4,C6,C7,C8,C9,C12","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C28233"
"100u","C5","CP_EIA-3528-12_Kemet-T_Pad1.50x2.35mm_HandSolder","C16133"
"LED1","D1","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C2297"
"LED2","D2","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C2296"
"5V","D3","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C2297"
"3V3","D4","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C2297"
"LED3","D5","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C84256"
"2k","R1,R2,R3,R4","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17604"
"1k","R5,R6,R7,R8,R9,R10,R12,R13,R14,R15","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17513"
"330","R11","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17630"
"LM317_TO-252","U1","TO-252-2","C75510"
